"publisher","year","value"
"111111_publisher",2018,9459482.63
"111111_publisher",2019,8729259.1509585
"111111_publisher",2020,9747642.678
"12921047",2018,8586000
"a-t",2018,1548995.67548
"a-t",2019,1138702.496853
"a-t",2020,1007531.52648
"aai",2018,2174358.73619295
"aai",2019,1729672.63768438
"aai",2020,983465.209157573
"aanl",2018,5406430.812
"aanl",2019,5334861.7026
"aanl",2020,4423443.176
"aar",2018,725340.317288
"aar",2019,470726.555247
"aar",2020,557439.82066
"aauk",2018,5631251.918296
"aauk",2019,3834190.59732
"aauk",2020,4540366.342351
"ablechildafrica",2018,120345.717728
"ablechildafrica",2019,97632.421848
"ablechildafrica",2020,110577.145356
"abt",2018,179688.1432
"abt",2019,450509.9391
"abt",2020,171625.0112
"acet",2018,1475821.76
"acf",2018,638485.048478
"acf",2019,564625.824984
"acf",2020,272815.461617
"achest",2018,1647676.592
"achest",2019,1951324.2813
"achest",2020,1977502.006
"acodev",2018,1748816.91672
"acodev",2019,1723720.47531
"acodev",2020,2363276.35328
"actec",2018,4301545.72834
"actec",2019,4020308.184
"actec",2020,3440443.68
"acu",2018,787346.0284
"acu",2019,618833.1474
"acu",2020,740770.6635
"ada",2018,540469.3322
"ada",2019,459894.335796
"ada",2020,499071.78872
"aecom",2018,12863562.5852
"aecom",2020,2254198.2126
"aet",2018,479118.4224
"afghanaid",2018,1565913.4648
"afghanaid",2019,1618221.7584
"afghanaid",2020,2245850.6926
"africalia",2018,2551906.712
"africalia",2019,2455783.2666
"africalia",2020,2430227.856
"afrikagrupperna",2018,5074840
"afrikids",2018,229776.43392
"afsc",2018,576359.234
"afsc",2019,422162.319
"afsc",2020,394401.928
"ageintl",2018,668077.6152
"agriterra",2018,5737424.17508
"ahead",2018,117579.99
"ahead",2019,9545.16
"ai_1064413",2018,242338.839948
"alliance_of_religions_and_conservation",2018,154294.46
"amnesty",2018,1212197.554
"amrefhq",2018,1061470
"amrefhq",2019,1047418.5
"amrefhq",2020,1061470
"amrefkenya",2018,436439.698
"amrefmw",2018,180508.82048
"amrefnl",2018,13048976.86
"amrefnl",2019,12117797.6211
"amrefnl",2020,9534710.61
"apefe",2018,12044228.1995
"apefe",2019,10223129.517201
"apefe",2020,9550078.54894
"appro-af",2018,1329400
"appro-af",2019,731250
"appro-af",2020,338400
"appro-eu",2018,1198328
"apt",2018,368199.039
"apt",2019,304004.8908
"apt",2020,285121.2843
"ares",2018,35643710.0817
"ares",2019,36391107.77031
"ares",2020,33841873.04684
"asdb",2018,11953684782.2
"asdb",2019,13975351638.05
